player_id,name_first,name_last,name_full,dummy
scottmi02,Mickey,Scott,Mickey Scott,1
scottmi03,Mike,Scott,Mike Scott,1
scottpe01,Pete,Scott,Pete Scott,1
scottro01,Rodney,Scott,Rodney Scott,1
scottti01,Tim,Scott,Tim Scott,1
scottto01,Tony,Scott,Tony Scott,1
scranji01,Jim,Scranton,Jim Scranton,1
scribev01,Evan,Scribner,Evan Scribner,1
scrivch01,Chuck,Scrivener,Chuck Scrivener,1
scrugto01,Tony,Scruggs,Tony Scruggs,1
scrugxa01,Xavier,Scruggs,Xavier Scruggs,1
scuddsc01,Scott,Scudder,Scott Scudder,1
scurrro01,Rod,Scurry,Rod Scurry,1
scutama01,Marco,Scutaro,Marco Scutaro,1
seabosc01,Scott,Seabol,Scott Seabol,1
seageco01,Corey,Seager,Corey Seager,1
seageky01,Kyle,Seager,Kyle Seager,1
sealejo01,Johnnie,Seale,Johnnie Seale,1
seamaki01,Kim,Seaman,Kim Seaman,1
seaneru01,Rudy,Seanez,Rudy Seanez,1
searara01,Ray,Searage,Ray Searage,1
searcst01,Steve,Searcy,Steve Searcy,1
searske01,Ken,Sears,Ken Sears,1
searsto01,Todd,Sears,Todd Sears,1
seatoto01,Tom,Seaton,Tom Seaton,1
seatsto01,Tom,Seats,Tom Seats,1
seaveto01,Tom,Seaver,Tom Seaver,1
seaybo01,Bobby,Seay,Bobby Seay,1
sebrabo01,Bob,Sebra,Bob Sebra,1
sebriji01,Jimmy,Sebring,Jimmy Sebring,1
sechrdo01,Doc,Sechrist,Doc Sechrist,1
secorfr01,Frank,Secory,Frank Secory,1
secrido01,Don,Secrist,Don Secrist,1
seddoch01,Chris,Seddon,Chris Seddon,1
sedgwdu01,Duke,Sedgwick,Duke Sedgwick,1
sedlash01,Shawn,Sedlacek,Shawn Sedlacek,1
seech01,Charlie,See,Charlie See,1
seedsbo01,Bob,Seeds,Bob Seeds,1
seela01,Larry,See,Larry See,1
seelbch01,Chuck,Seelbach,Chuck Seelbach,1
seelbch02,Chris,Seelbach,Chris Seelbach,1
seerepa01,Pat,Seerey,Pat Seerey,1
seeryem01,Emmett,Seery,Emmett Seery,1
sefcike01,Kevin,Sefcik,Kevin Sefcik,1
segelhe01,Herman,Segelke,Herman Segelke,1
segovza01,Zack,Segovia,Zack Segovia,1
segrika01,Kal,Segrist,Kal Segrist,1
seguida01,David,Segui,David Segui,1
seguidi01,Diego,Segui,Diego Segui,1
seguife01,Fernando,Seguignol,Fernando Seguignol,1
segurje01,Jean,Segura,Jean Segura,1
segurjo01,Jose,Segura,Jose Segura,1
seibeku01,Kurt,Seibert,Kurt Seibert,1
seibeph01,Phil,Seibel,Phil Seibel,1
seiboso01,Socks,Seibold,Socks Seibold,1
seilhri01,Ricky,Seilheimer,Ricky Seilheimer,1
seitzke01,Kevin,Seitzer,Kevin Seitzer,1
selbaki01,Kip,Selbach,Kip Selbach,1
selbybi01,Bill,Selby,Bill Selby,1
seleaa01,Aaron,Sele,Aaron Sele,1
seleefr99,Frank,Selee,Frank Selee,1
selfto01,Todd,Self,Todd Self,1
selkige01,George,Selkirk,George Selkirk,1
selleje01,Jeff,Sellers,Jeff Sellers,1
selleju01,Justin,Sellers,Justin Sellers,1
sellep01,Epp,Sell,Epp Sell,1
selleru01,Rube,Sellers,Rube Sellers,1
sellsda01,Dave,Sells,Dave Sells,1
selmadi01,Dick,Selma,Dick Selma,1
selmafr01,Frank,Sellman,Frank Sellman,1
selphca01,Carey,Selph,Carey Selph,1
sembeca01,Carroll,Sembera,Carroll Sembera,1
sembemi01,Mike,Sember,Mike Sember,1
semiema01,Marcus,Semien,Marcus Semien,1
seminan01,Andy,Seminick,Andy Seminick,1
seminfr01,Frank,Seminara,Frank Seminara,1
semprra01,Ray,Semproch,Ray Semproch,1
senerso01,Sonny,Senerchia,Sonny Senerchia,1
senseco01,Count,Sensenderfer,Count Sensenderfer,1
sentepa01,Paul,Sentell,Paul Sentell,1
sentest01,Steve,Senteney,Steve Senteney,1
seoanma01,Manny,Seoane,Manny Seoane,1
seoja01,Jae Weong,Seo,Jae Weong Seo,1
sepkote01,Ted,Sepkowski,Ted Sepkowski,1
septile01,Leyson,Septimo,Leyson Septimo,1
seradbi01,Billy,Serad,Billy Serad,1
serafda01,Dan,Serafini,Dan Serafini,1
serenbi01,Bill,Serena,Bill Serena,1
sernapa01,Paul,Serna,Paul Serna,1
serraal01,Alex,Serrano,Alex Serrano,1
serraji01,Jimmy,Serrano,Jimmy Serrano,1
serrawa01,Wascar,Serrano,Wascar Serrano,1
serumga01,Gary,Serum,Gary Serum,1
servasc01,Scott,Servais,Scott Servais,1
servisc01,Scott,Service,Scott Service,1
sessiwa01,Walter,Sessi,Walter Sessi,1
settlme01,Merle,Settlemire,Merle Settlemire,1
sevcijo01,John,Sevcik,John Sevcik,1
several01,Al,Severinsen,Al Severinsen,1
severat01,Atahualpa,Severino,Atahualpa Severino,1
severha01,Hank,Severeid,Hank Severeid,1
severlu01,Luis,Severino,Luis Severino,1
severpe01,Pedro,Severino,Pedro Severino,1
severri01,Rich,Severson,Rich Severson,1
sewared01,Ed,Seward,Ed Seward,1
sewarfr01,Frank,Seward,Frank Seward,1
sewarge01,George,Seward,George Seward,1
seweljo01,Joe,Sewell,Joe Sewell,1
sewellu01,Luke,Sewell,Luke Sewell,1
sewelri01,Rip,Sewell,Rip Sewell,1
sewelto01,Tommy,Sewell,Tommy Sewell,1
sexauel01,Elmer,Sexauer,Elmer Sexauer,1
sexsori01,Richie,Sexson,Richie Sexson,1
sextoch01,Chris,Sexton,Chris Sexton,1
sextofr01,Frank,Sexton,Frank Sexton,1
sextoji01,Jimmy,Sexton,Jimmy Sexton,1
sextoto01,Tom,Sexton,Tom Sexton,1
seyboso01,Socks,Seybold,Socks Seybold,1
seyfrgo01,Gordon,Seyfried,Gordon Seyfried,1
seymocy01,Cy,Seymour,Cy Seymour,1
seymoja01,Jake,Seymour,Jake Seymour,1
shabaad01,Adam,Shabala,Adam Shabala,1
shackbr01,Brian,Shackelford,Brian Shackelford,1
shafera01,Ralph,Shafer,Ralph Shafer,1
shafeti01,Tillie,Shafer,Tillie Shafer,1
shaff01,,Shaffer, Shaffer,1
shaffjo01,John,Shaffer,John Shaffer,1
shaffor01,Orator,Shafer,Orator Shafer,1
shaffri01,Richie,Shaffer,Richie Shaffer,1
shaffta01,Taylor,Shafer,Taylor Shafer,1
shallgu01,Gus,Shallix,Gus Shallix,1
shamsar01,Art,Shamsky,Art Shamsky,1
shanagr01,Greg,Shanahan,Greg Shanahan,1
shandji01,Jim,Shanley,Jim Shanley,1
shanewa01,Wally,Shaner,Wally Shaner,1
shankha01,Harvey,Shank,Harvey Shank,1
shankho01,Howie,Shanks,Howie Shanks,1
shanldo01,Doc,Shanley,Doc Shanley,1
shannbi01,Bill,Shanner,Bill Shanner,1
shannda01,Dan,Shannon,Dan Shannon,1
shannfr01,Frank,Shannon,Frank Shannon,1
shannjo01,Joe,Shannon,Joe Shannon,1
shannmi01,Mike,Shannon,Mike Shannon,1
shannow01,Owen,Shannon,Owen Shannon,1
shannre01,Red,Shannon,Red Shannon,1
shannsp01,Spike,Shannon,Spike Shannon,1
shannwa01,Warren,Shanabrook,Warren Shanabrook,1
shannwa02,Wally,Shannon,Wally Shannon,1
shantbi01,Billy,Shantz,Billy Shantz,1
shantbo01,Bobby,Shantz,Bobby Shantz,1
sharmra01,Ralph,Sharman,Ralph Sharman,1
sharodi01,Dick,Sharon,Dick Sharon,1
sharpbi01,Bill,Sharp,Bill Sharp,1
sharpbu01,Bud,Sharpe,Bud Sharpe,1
sharpjo01,Josh,Sharpless,Josh Sharpless,1
sharpmi01,Mike,Sharperson,Mike Sharperson,1
sharrge01,George,Sharrott,George Sharrott,1
sharrja01,Jack,Sharrott,Jack Sharrott,1
sharsbi99,Bill,Sharsig,Bill Sharsig,1
shaugsh01,Shag,Shaughnessy,Shag Shaughnessy,1
shautjo01,Joe,Shaute,Joe Shaute,1
shaveje01,Jeff,Shaver,Jeff Shaver,1
shavejo01,Jon,Shave,Jon Shave,1
shawal01,Al,Shaw,Al Shaw,1
shawal02,Al,Shaw,Al Shaw,1
shawbe01,Ben,Shaw,Ben Shaw,1
shawbo01,Bob,Shaw,Bob Shaw,1
shawbr01,Bryan,Shaw,Bryan Shaw,1
shawdo01,Don,Shaw,Don Shaw,1
shawdu01,Dupee,Shaw,Dupee Shaw,1
shawhu01,Hunky,Shaw,Hunky Shaw,1
shawje01,Jeff,Shaw,Jeff Shaw,1
shawji01,Jim,Shaw,Jim Shaw,1
shawkbo01,Bob,Shawkey,Bob Shawkey,1
shawsa01,Sam,Shaw,Sam Shaw,1
shawtr01,Travis,Shaw,Travis Shaw,1
shayda01,Danny,Shay,Danny Shay,1
shayma01,Marty,Shay,Marty Shay,1
sheafda01,Danny,Sheaffer,Danny Sheaffer,1
sheage01,Gerry,Shea,Gerry Shea,1
sheajo01,John,Shea,John Shea,1
shealal01,Al,Shealy,Al Shealy,1
shealry01,Ryan,Shealy,Ryan Shealy,1
sheame01,Merv,Shea,Merv Shea,1
sheami01,Mike,Shea,Mike Shea,1
sheana01,Nap,Shea,Nap Shea,1
sheanda01,Dave,Shean,Dave Shean,1
sheare01,Red,Shea,Red Shea,1
shearge01,George,Shears,George Shears,1
shearjo01,John,Shearon,John Shearon,1
shearra01,Ray,Shearer,Ray Shearer,1
shearto01,Tom,Shearn,Tom Shearn,1
